annotator,conclusion_id,conclusion_sentence,conclusion,premise_1_id,premise_1_sentence,premise_1,premise_2_id,premise_2_sentence,premise_2,premise_3_id,premise_3_sentence,premise_3,premise_4_id,premise_4_sentence,premise_4,premise_5_id,premise_5_sentence,premise_5,premise_6_id,premise_6_sentence,premise_6,premise_7_id,premise_7_sentence,premise_7,premise_8_id,premise_8_sentence,premise_8
MI,39,"Ja również — nie, absolutnie nie wypieram się, że wykonywałam zabiegi przerwania ciąży, bo to w tamtych czasach to było konieczne, ale równocześnie rozwój technik wizualizacji innych, które sprawiły, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się i absolutnie, muszę powiedzieć, że od pewnego momentu nie wykonywałam zabiegów i równocześnie te zabiegi były oczywiście robione w tych szpitalach, w których ja pracowałam, ale ja w nich nie uczestniczyłam.","Zdecydowałam, że nie będę już wykonywać zabiegów przerywania ciąży, choć nadal były one przeprowadzane w szpitalach, w których pracowałam.",39,"Kiedy zobaczyłam, jak wygląda życie prenatalne, uświadomiłam sobie, że nie chcę już uczestniczyć w tych zabiegach.",,,,,,,,,,,,,,,,,,,,,,
DZ,41,"Tak, jestem za legalizacją aborcji do dwunastego tygodnia.",Aborcja do dwunastego tygodnia powinna być legalna.,42,"Uważam, że to kobieta powinna podjąć decyzję, czy chce być w ciąży, czy chce ją zakończyć.","To kobieta powinna podjąć decyzję, czy chce być w ciąży czy chce ją zakończyć.",43,"Jeżeli pacjentka zdecyduje się na wykonanie aborcji do dwunastego tygodnia, jest to na tyle bezpieczna procedura, bezpieczniejsza niż wyrywanie zębów mądrości, także tutaj kwestia tego, czy kontynuujemy ciążę czy nie, powinno zależeć od, od osoby, która jest w ciąży.","Wykonanie aborcji do dwunastego tygodnia jest wystarczająco bezpieczną procedurą, bezpieczniejszą niż wyrywanie zębów mądrości.",,,,,,,,,,,,,,,,,,
KW,41,"Tak, jestem za legalizacją aborcji do dwunastego tygodnia.",Jestem za legalizacją aborcji do dwunastego tygodnia.,42,"Uważam, że to kobieta powinna podjąć decyzję, czy chce być w ciąży, czy chce ją zakończyć.","Kobieta powinna podjąć decyzję, czy chce być w ciąży, czy chce ją zakończyć.",43,"Jeżeli pacjentka zdecyduje się na wykonanie aborcji do dwunastego tygodnia, jest to na tyle bezpieczna procedura, bezpieczniejsza niż wyrywanie zębów mądrości, także tutaj kwestia tego, czy kontynuujemy ciążę czy nie, powinno zależeć od, od osoby, która jest w ciąży.","Jest to bezpieczna procedura, bezpieczniejsza niż wyrywanie zębów mądrości.",,,,,,,,,,,,,,,,,,
ZP,41,"Tak, jestem za legalizacją aborcji do dwunastego tygodnia.",Aborcja do dwunastego tygodnia powinna być legalna ,42,"Uważam, że to kobieta powinna podjąć decyzję, czy chce być w ciąży, czy chce ją zakończyć.","Kobieta powinna podejmować decyzję, czy chce być w ciąży, czy chce ją zakończyć.",43,"Jeżeli pacjentka zdecyduje się na wykonanie aborcji do dwunastego tygodnia, jest to na tyle bezpieczna procedura, bezpieczniejsza niż wyrywanie zębów mądrości, także tutaj kwestia tego, czy kontynuujemy ciążę czy nie, powinno zależeć od, od osoby, która jest w ciąży.","Aborcja do dwunastego tygodnia to bezpieczna procedura, bezpieczniejsza niż wyrywanie zębów mądrości. ",,,,,,,,,,,,,,,,,,
HŁ,41,"Tak, jestem za legalizacją aborcji do dwunastego tygodnia.",Jestem za legalizacją aborcji do dwunastego tygodnia.,42,"Uważam, że to kobieta powinna podjąć decyzję, czy chce być w ciąży, czy chce ją zakończyć.",Kobieta powinna móc podjąć decyzję.,43,"Jeżeli pacjentka zdecyduje się na wykonanie aborcji do dwunastego tygodnia, jest to na tyle bezpieczna procedura, bezpieczniejsza niż wyrywanie zębów mądrości, także tutaj kwestia tego, czy kontynuujemy ciążę czy nie, powinno zależeć od, od osoby, która jest w ciąży.",Aborcja to jest bardzo bezpieczna procedura.,,,,,,,,,,,,,,,,,,
MI,41,"Tak, jestem za legalizacją aborcji do dwunastego tygodnia.",Jestem za legalizacją aborcji do dwunastego tygodnia.,43,"Jeżeli pacjentka zdecyduje się na wykonanie aborcji do dwunastego tygodnia, jest to na tyle bezpieczna procedura, bezpieczniejsza niż wyrywanie zębów mądrości, także tutaj kwestia tego, czy kontynuujemy ciążę czy nie, powinno zależeć od, od osoby, która jest w ciąży.",Aborcja jest bezpieczniejsza niż wyrywanie zębów.,,,,,,,,,,,,,,,,,,,,,
WG,41,"Tak, jestem za legalizacją aborcji do dwunastego tygodnia.",Aborcja do dwunastego tygodnia powinna być legalna.,42,"Uważam, że to kobieta powinna podjąć decyzję, czy chce być w ciąży, czy chce ją zakończyć.","To kobieta powinna podjąć decyzję, czy chce być w ciąży, czy chce ją zakończyć.",43,"Jeżeli pacjentka zdecyduje się na wykonanie aborcji do dwunastego tygodnia, jest to na tyle bezpieczna procedura, bezpieczniejsza niż wyrywanie zębów mądrości, także tutaj kwestia tego, czy kontynuujemy ciążę czy nie, powinno zależeć od, od osoby, która jest w ciąży.","Aborcja do dwunastego tygodnia ciąży to bezpieczna procedura, bezpieczniejsza niż wyrywanie zębów mądrości. ",,,,,,,,,,,,,,,,,,
MS,41,"Tak, jestem za legalizacją aborcji do dwunastego tygodnia.",Jestem za legalizację aborcji do dwunastego tygodnia.,42,"Uważam, że to kobieta powinna podjąć decyzję, czy chce być w ciąży, czy chce ją zakończyć.","Kobieta powinna podjąć decyzję, czy chce być w ciąży, czy chce ją zakończyć.",43,"Jeżeli pacjentka zdecyduje się na wykonanie aborcji do dwunastego tygodnia, jest to na tyle bezpieczna procedura, bezpieczniejsza niż wyrywanie zębów mądrości, także tutaj kwestia tego, czy kontynuujemy ciążę czy nie, powinno zależeć od, od osoby, która jest w ciąży.","Wykonanie aborcji do dwunastego tygodnia, jest bezpieczną procedurą.",,,,,,,,,,,,,,,,,,
DZ,46,"Oczywiście też uważam, że to jest decyzja osoby będącej w ciąży do dwunastego tygodnia jej trwania.",Aborcja do dwunastego tygodnia powinna być legalna.,46,"Oczywiście też uważam, że to jest decyzja osoby będącej w ciąży do dwunastego tygodnia jej trwania.",Aborcja jest decyzją osoby będącej w ciąży do dwunastego tygodnia jej trwania.,47,"Może taką decyzję podjąć bez żadnych obostrzeń, konsultacji, weryfikacji.","Powinna móc podjąć taką decyzję bez żadnych obostrzeń, konsultacji, weryfikacji.",,,,,,,,,,,,,,,,,,
KW,46,"Oczywiście też uważam, że to jest decyzja osoby będącej w ciąży do dwunastego tygodnia jej trwania.",Aborcja jest decyzją osoby będącej w ciąży do dwunastego tygodnia jej trwania.,47,"Może taką decyzję podjąć bez żadnych obostrzeń, konsultacji, weryfikacji.","Kobieta może podjąć decyzję bez żadnych obostrzeń, konstultacji, weryfikacji.",48,"Tak nawiasem, przerwanie własnej ciąży jest absolutnie legalne.",Przerwanie własnej ciąży jest absolutnie legalne.,,,,,,,,,,,,,,,,,,
ZP,46,"Oczywiście też uważam, że to jest decyzja osoby będącej w ciąży do dwunastego tygodnia jej trwania.",Aborcja do dwunastego tygodnia powinna być legalna,46,"Oczywiście też uważam, że to jest decyzja osoby będącej w ciąży do dwunastego tygodnia jej trwania.",Decyzja o aborcji jest decyzją osoby będącej w ciąży do dwunastego tygodnia jej trwania.,47,"Może taką decyzję podjąć bez żadnych obostrzeń, konsultacji, weryfikacji.","Osoba w ciąży może podjąć decyzję o aborcji bez żadnych obostrzeń, konsultacji, weryfikacji.",48,"Tak nawiasem, przerwanie własnej ciąży jest absolutnie legalne.",W Polsce przerwanie własnej ciąży jest absolutnie legalne.,,,,,,,,,,,,,,,
HŁ,46,"Oczywiście też uważam, że to jest decyzja osoby będącej w ciąży do dwunastego tygodnia jej trwania.",Aborcja na życzenie do dwunastego tygodnia powinna być legalna.,46,"Oczywiście też uważam, że to jest decyzja osoby będącej w ciąży do dwunastego tygodnia jej trwania.",Aborcja jest decyzją osoby będącej w ciąży.,,,,,,,,,,,,,,,,,,,,,
MI,46,"Oczywiście też uważam, że to jest decyzja osoby będącej w ciąży do dwunastego tygodnia jej trwania.",Decyzja o zakończeniu ciąży powinna być decyzją osoby będącej w ciąży do dwunastego tygodnia jej trwania.,49,"W Polsce w tej chwili może to zrobić każda osoba będąca w ciąży, przerwać samodzielnie własną ciążę.",Już teraz samodzielne każda osoba może przerwać samodzielnie własną ciążę.,,,,,,,,,,,,,,,,,,,,,
WG,46,"Oczywiście też uważam, że to jest decyzja osoby będącej w ciąży do dwunastego tygodnia jej trwania.",Aborcja do dwunastego tygodnia powinna być legalna.,46,"Oczywiście też uważam, że to jest decyzja osoby będącej w ciąży do dwunastego tygodnia jej trwania.",Aborcja to decyzja osoby będącej w ciąży do dwunastego tygodnia jej trwania.,,,,,,,,,,,,,,,,,,,,,
ZP,52,"A ja nie jestem za przerywaniem ciąży ani do dwunastego tygodnia, ani do żadnego innego tygodnia.","Nie jestem za przerywaniem ciąży ani do dwunastego tygodnia, ani do żadnego innego tygodnia.",53,"Oczywiście zgadzam się z obowiązującym obecnie prawem w sytuacji, i możliwościom dokonania aborcji, w sytuacji zagrożenia życia i zdrowia kobiety, jak również w sytuacji, która jest spowodowana czynem zabronionym.","Oczywiście zgadzam się z obowiązującym obecnie prawem w sytuacji, i możliwościom dokonania aborcji, w sytuacji zagrożenia życia i zdrowia kobiety, jak również w sytuacji, która jest spowodowana czynem zabronionym.",55,"Natomiast jeżeli chodzi o dowolną aborcję, w jakimkolwiek przypadku, z jakiegokolwiek powodu, na życzenie — nie zgadzam się z tym.","Jeżeli chodzi o dowolną aborcję, w jakimkolwiek przypadku, z jakiegokolwiek powodu, na życzenie — nie zgadzam się z tym.",,,,,,,,,,,,,,,,,,
MI,58,"Dla tej osoby, która się na nią decyduje…","Aborcja jest ok dla osoby, która się na nią decyduje.",64,"Nie ma przymusu decydowania się na przerwanie ciąży, czy to w sytuacji takiej, której po prostu no jest taka decyzja wynikająca z własnej woli do dwunastego tygodnia trwania ciąży, czy z przyczyny no wymienionych już wcześniej przesłanek zagrożenia życia lub zdrowia, czy też no już usuniętej przesłanki tak zwanej eugenicznej, czyli uszkodzenia ciężkiego, nieodwracalnego uszkodzenia płodu, a osoby, które się decydują usunąć tę ciążę, podejmują tę decyzję i to jest ich decyzja.",Nie ma przymusu decydowania się na przerwania ciąży.,63,Bo inaczej nie podjęłaby takiej decyzji.,"Jeżeli osoba się na nią decyduje, to dla niej jest ok.",,,,,,,,,,,,,,,,,,
DZ,62,"Jeżeli osoba się na nią decyduje, to dla niej najwyraźniej jest ok.","Jeżeli osoba decyduje się na aborcję, to dla takiej osoby aborcja najwyraźniej jest ok.",64,"Nie ma przymusu decydowania się na przerwanie ciąży, czy to w sytuacji takiej, której po prostu no jest taka decyzja wynikająca z własnej woli do dwunastego tygodnia trwania ciąży, czy z przyczyny no wymienionych już wcześniej przesłanek zagrożenia życia lub zdrowia, czy też no już usuniętej przesłanki tak zwanej eugenicznej, czyli uszkodzenia ciężkiego, nieodwracalnego uszkodzenia płodu, a osoby, które się decydują usunąć tę ciążę, podejmują tę decyzję i to jest ich decyzja.","Nie ma przymusu decydowania się na przerwanie ciąży, czy to w sytuacji takiej, której po prostu no jest taka decyzja wynikająca z własnej woli do dwunastego tygodnia trwania ciąży, czy przesłanek zagrożenia życia lub zdrowia, czy też już usuniętej przesłanki tak zwanej eugenicznej, czyli uszkodzenia ciężkiego, nieodwracalnego uszkodzenia płodu.",64,"Nie ma przymusu decydowania się na przerwanie ciąży, czy to w sytuacji takiej, której po prostu no jest taka decyzja wynikająca z własnej woli do dwunastego tygodnia trwania ciąży, czy z przyczyny no wymienionych już wcześniej przesłanek zagrożenia życia lub zdrowia, czy też no już usuniętej przesłanki tak zwanej eugenicznej, czyli uszkodzenia ciężkiego, nieodwracalnego uszkodzenia płodu, a osoby, które się decydują usunąć tę ciążę, podejmują tę decyzję i to jest ich decyzja.","Osoby, które się decydują usunąć tę ciążę, podejmują tę decyzję i to jest ich decyzja.",63,"Bo inaczej osoba, która wykonała aborcję, nie podjęłaby decyzji o aborcji.",,,,,,,,,,,,,,,,
KW,62,"Jeżeli osoba się na nią decyduje, to dla niej najwyraźniej jest ok.","Aborcja jest ok dla osób, które się na nią decydują",64,"Nie ma przymusu decydowania się na przerwanie ciąży, czy to w sytuacji takiej, której po prostu no jest taka decyzja wynikająca z własnej woli do dwunastego tygodnia trwania ciąży, czy z przyczyny no wymienionych już wcześniej przesłanek zagrożenia życia lub zdrowia, czy też no już usuniętej przesłanki tak zwanej eugenicznej, czyli uszkodzenia ciężkiego, nieodwracalnego uszkodzenia płodu, a osoby, które się decydują usunąć tę ciążę, podejmują tę decyzję i to jest ich decyzja.",Nie ma przymusu decydowania się na przerwanie ciąży,64,"Nie ma przymusu decydowania się na przerwanie ciąży, czy to w sytuacji takiej, której po prostu no jest taka decyzja wynikająca z własnej woli do dwunastego tygodnia trwania ciąży, czy z przyczyny no wymienionych już wcześniej przesłanek zagrożenia życia lub zdrowia, czy też no już usuniętej przesłanki tak zwanej eugenicznej, czyli uszkodzenia ciężkiego, nieodwracalnego uszkodzenia płodu, a osoby, które się decydują usunąć tę ciążę, podejmują tę decyzję i to jest ich decyzja.","Aborcja jest decyzją osób, które na nią się decydują",,,,,,,,,,,,,,,,,,
ZP,62,"Jeżeli osoba się na nią decyduje, to dla niej najwyraźniej jest ok.","Jeżeli osoba decyduje się na aborcję, to dla niej najwyraźniej aborcja jest ok.",63,Bo inaczej nie podjęłaby takiej decyzji.,"Gdyby aborcja nie była ok, to osoba decydująca się na nią, nie podjęłaby takiej decyzji.",64,"Nie ma przymusu decydowania się na przerwanie ciąży, czy to w sytuacji takiej, której po prostu no jest taka decyzja wynikająca z własnej woli do dwunastego tygodnia trwania ciąży, czy z przyczyny no wymienionych już wcześniej przesłanek zagrożenia życia lub zdrowia, czy też no już usuniętej przesłanki tak zwanej eugenicznej, czyli uszkodzenia ciężkiego, nieodwracalnego uszkodzenia płodu, a osoby, które się decydują usunąć tę ciążę, podejmują tę decyzję i to jest ich decyzja.",Nie ma przymusu decydowania się na przerwanie ciąży.,64,"Nie ma przymusu decydowania się na przerwanie ciąży, czy to w sytuacji takiej, której po prostu no jest taka decyzja wynikająca z własnej woli do dwunastego tygodnia trwania ciąży, czy z przyczyny no wymienionych już wcześniej przesłanek zagrożenia życia lub zdrowia, czy też no już usuniętej przesłanki tak zwanej eugenicznej, czyli uszkodzenia ciężkiego, nieodwracalnego uszkodzenia płodu, a osoby, które się decydują usunąć tę ciążę, podejmują tę decyzję i to jest ich decyzja.","Osoby, które się decydują usunąć ciążę, podejmują tę decyzję i to jest ich decyzja.",,,,,,,,,,,,,,,
HŁ,62,"Jeżeli osoba się na nią decyduje, to dla niej najwyraźniej jest ok.",Aborcja dla niektórych jest ok.,63,Bo inaczej nie podjęłaby takiej decyzji.,Ludzie decydują się na aborcję.,61,"No to ja nie odpowiadam w imieniu tylko własnym, tylko chcę, żeby mówiły o tym osoby, które się na nią decydują.",Aborcja to indywidualna decyzja.,,,,,,,,,,,,,,,,,,
WG,62,"Jeżeli osoba się na nią decyduje, to dla niej najwyraźniej jest ok.","Jeżeli osoba decyduje się na aborcję, to dla takiej osoby aborcja jest ok.",63,Bo inaczej nie podjęłaby takiej decyzji.,"Gdyby aborcja nie była ok dla osoby, która się na nią decyduje, to nie podjęłaby decyzji o aborcji.",64,"Nie ma przymusu decydowania się na przerwanie ciąży, czy to w sytuacji takiej, której po prostu no jest taka decyzja wynikająca z własnej woli do dwunastego tygodnia trwania ciąży, czy z przyczyny no wymienionych już wcześniej przesłanek zagrożenia życia lub zdrowia, czy też no już usuniętej przesłanki tak zwanej eugenicznej, czyli uszkodzenia ciężkiego, nieodwracalnego uszkodzenia płodu, a osoby, które się decydują usunąć tę ciążę, podejmują tę decyzję i to jest ich decyzja.","Nie ma przymusu decydowania się na przerwanie ciąży, czy to w sytuacji takiej,  w której jest to decyzja wynikająca z własnej woli do dwunastego tygodnia trwania ciąży, czy z przesłanek zagrożenia życia lub zdrowia, czy też z już usuniętej przesłanki tak zwanej eugenicznej, czyli ciężkiego, nieodwracalnego uszkodzenia płodu, a osoby, które decydują się usunąć ciążę, podejmują tę decyzję i to jest ich decyzja.",,,,,,,,,,,,,,,,,,
