speaker_id,sentence_id,sentence,is_question
2,39,"Ja również — nie, absolutnie nie wypieram się, że wykonywałam zabiegi przerwania ciąży, bo to w tamtych czasach to było konieczne, ale równocześnie rozwój technik wizualizacji innych, które sprawiły, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się i absolutnie, muszę powiedzieć, że od pewnego momentu nie wykonywałam zabiegów i równocześnie te zabiegi były oczywiście robione w tych szpitalach, w których ja pracowałam, ale ja w nich nie uczestniczyłam.",0
1,40,"Pani doktor Orawiec — czy pani jest za legalizacją aborcji, do dwunastego tygodnia ciąży, rzecz jasna?",1
3,41,"Tak, jestem za legalizacją aborcji do dwunastego tygodnia.",0
3,42,"Uważam, że to kobieta powinna podjąć decyzję, czy chce być w ciąży, czy chce ją zakończyć.",0
3,43,"Jeżeli pacjentka zdecyduje się na wykonanie aborcji do dwunastego tygodnia, jest to na tyle bezpieczna procedura, bezpieczniejsza niż wyrywanie zębów mądrości, także tutaj kwestia tego, czy kontynuujemy ciążę czy nie, powinno zależeć od, od osoby, która jest w ciąży.",0
1,44,Pani poseł Anna Maria Żukowska.,0
5,45,"A mianowicie od pytania, czy są panie za legalną aborcją na życzenie do dwunastego tygodnia ciąży",0
5,46,"Oczywiście też uważam, że to jest decyzja osoby będącej w ciąży do dwunastego tygodnia jej trwania.",0
5,47,"Może taką decyzję podjąć bez żadnych obostrzeń, konsultacji, weryfikacji.",0
5,48,"Tak nawiasem, przerwanie własnej ciąży jest absolutnie legalne.",0
5,49,"W Polsce w tej chwili może to zrobić każda osoba będąca w ciąży, przerwać samodzielnie własną ciążę.",0
1,50,"No i pani minister Katarzyna Sójka, pani poseł Prawa i Sprawiedliwości.",0
1,51,"Pani poseł, a pani?",1
4,52,"A ja nie jestem za przerywaniem ciąży ani do dwunastego tygodnia, ani do żadnego innego tygodnia.",0
4,53,"Oczywiście zgadzam się z obowiązującym obecnie prawem w sytuacji, i możliwościom dokonania aborcji, w sytuacji zagrożenia życia i zdrowia kobiety, jak również w sytuacji, która jest spowodowana czynem zabronionym.",0
4,54,Jak najbardziej zgadzam się z tym.,0
4,55,"Natomiast jeżeli chodzi o dowolną aborcję, w jakimkolwiek przypadku, z jakiegokolwiek powodu, na życzenie — nie zgadzam się z tym.",0
1,56,„Aborcja jest ok” — takie hasła nosiły panie protestujące podczas demonstracji po wyroku Trybunału Konstytucyjnego.,0
1,57,"No i to jest pytanie, które muszę zadać, zostawiając na razie na boku ustawę, zostawiając na boku przepisy — czy aborcja jest ok?",1
5,58,"Dla tej osoby, która się na nią decyduje…",0
1,59,"…Nie, dla pani, dla pani.",0
1,60,"Każda z pań niech odpowie we własnym, jeśli mogę prosić, imieniu.",0
5,61,"No to ja nie odpowiadam w imieniu tylko własnym, tylko chcę, żeby mówiły o tym osoby, które się na nią decydują.",0
5,62,"Jeżeli osoba się na nią decyduje, to dla niej najwyraźniej jest ok.",0
5,63,Bo inaczej nie podjęłaby takiej decyzji.,0
5,64,"Nie ma przymusu decydowania się na przerwanie ciąży, czy to w sytuacji takiej, której po prostu no jest taka decyzja wynikająca z własnej woli do dwunastego tygodnia trwania ciąży, czy z przyczyny no wymienionych już wcześniej przesłanek zagrożenia życia lub zdrowia, czy też no już usuniętej przesłanki tak zwanej eugenicznej, czyli uszkodzenia ciężkiego, nieodwracalnego uszkodzenia płodu, a osoby, które się decydują usunąć tę ciążę, podejmują tę decyzję i to jest ich decyzja.",0
5,65,To jest decyzja kobiet.,0
1,66,"Pani powiedziała, że pani jest zwolenniczką legalizacji aborcji, pani doktor.",0
1,67,"Czy aborcja, podpisałaby się pani pod tym zdaniem: „aborcja jest ok”, to nic takiego?",1
3,68,"Z mojej perspektywy, jako lekarki, aborcja jest procedurą medyczną, na którą powinna mieć możliwość zdecydować się kobieta, która nie chce kontynuować ciąży.",0
3,69,"Znałam przypadki osób, które twierdziły, że nigdy w życiu nie dokonają aborcji, a potem przychodziły i jednak sytuacja była dla nich w tym momencie na tyle wyjątkowa, że chciały zdecydować na przerwanie ciąży.",0
3,70,"Myślę, że to pytanie: „czy aborcja jest ok” powinna sobie zadać osoba, która tej aborcji potrzebuje i indywidualnie zdecydować czy, czy chce kontynuować, czy nie.",0
1,71,"Ale uciekają trochę panie od odpowiedzi na to pytanie, bo to pytanie jest tak naprawdę do pań, do, do wszystkich naszych gościń, naszych rozmówczyń.",0
1,72,Czy dla pani aborcja jest ok?,1
1,73,"Czy pani uważa, podpisałaby się pani pod tym zdaniem, poszłaby pani na demonstrację z transparentem: „aborcja jest ok”?",1
3,74,"Myślę, że to dla mnie by było ciężkie, bo znam osoby, dla których aborcja jest trudnym tematem, nie podjęłyby się aborcji, jest to niezgodne z ich wiarą i, i to jest dla mnie… Jakby to, że ja się z tym zgadzam, ok, uważam, że tak może być, jest z mojej strony wyrazem szacunku dla poglądów danej osoby.",0
3,75,"Znam dziewczyny, które mówiły: jestem po trzech aborcjach, ok, zdarzyło się, nic to dla mnie nie znaczy.",0
3,76,I no też nic mi do tego.,0
1,77,"Pani profesor, rozumiem, że pani powie, że aborcja nie jest ok.",0
2,78,"Ja bym powiedziała troszeczkę inaczej, mianowicie wszystko zależy od tego, czy, czy kobieta, jeżeli kobieta chce przerwać ciążę, to ona musi wiedzieć dlaczego, a my jako medycy nie możemy jej zostawić samej.",0
2,79,Myśmy powinni z nią rozmawiać.,0
2,80,"I to, co powiedziała wcześniej pani poseł i pani minister, że jeżeli my jesteśmy w sytuacji takiej, że ciąża stanowi zagrożenie życia i zdrowia pacjenta, to my z nią rozmawiamy.",0
2,81,Mówimy o aborcji jakiej?,1
2,82,"Aborcja na życzenie, wtedy, kiedy kobieta jest chora, to jest zupełnie inna kwestia, to jest zupełnie inny kanał, w którym rozmawiamy z tą kobietą i rozmawiamy z jej rodziną, z jej mężem.",0
2,83,"Ona nie może powiedzieć: ok, jestem, jest problem, jestem chora i aborcja jest ok dla mnie.",0
2,84,Nie.,0
2,85,"Dlatego, że problem jest większy, problem jest medyczny.",0
2,86,"I ten problem medyczny powoduje to, że my się musimy przygotować do takiego typu działania.",0
2,87,"Natomiast, jeżeli kobieta decyduje się na to, że ona chce przerwać ciążę, bo coś jej w życiu nie pasuje — nie ten partner, nie to dziecko, nie to nasienie, nie ten, nie ten pogląd, nie ten światopogląd — no to jest zupełnie inna kwestia i przeciwko takiej aborcji jestem przeciwna.",0
1,88,Pani minister?,1
4,89,Czy aborcja jest ok?,1
4,90,"W ogóle nie wyobrażam sobie, żeby mówić w takich kategoriach „ok” — prostych, przyjemnych, miłych.",0
4,91,"Absolutnie, to się w ogóle nie pasuje jedno z drugim.",0
4,92,Aborcja nie jest ok.,0
4,93,"Myślę, że aborcja jest w ogóle bardzo trudnym przeżyciem, szczególnie dla kobiet, które, które tracą dziecko ze względu na to, że ratują swoje życie mając inne dzieci, na przykład, w domu.",0
4,94,"I nie wyobrażam sobie, żeby powiedzieć, że ta aborcja jest ok.",0
1,95,"Ale mówi pani o sytuacji dramatu wynikającego z przesłanek jakiś medycznych, ale mówimy teraz o aborcji wynikającej z pewnego życzenia, aborcja na życzenia.",0
4,96,"To tym bardziej sobie tego nie wyobrażam, że ktoś może powiedzieć, że aborcja jest ok.",0
4,97,"Dla mnie dziecko, płód… to jest dziecko, to jest człowiek od poczęcia.",0
4,98,"Trudno określić, bo dzisiaj możemy wymieniać różne poglądy.",0
4,99,"Trudno określić, w którym momencie, czy w pierwszym dniu to jest człowiek, czy w dziesiątym tygodniu, czy w dwudziestym tygodniu.",0
4,100,"Zresztą są różne, różne określenia i możemy mówić o płci, o formie genetycznej, o formie neurologicznej i w zasadzie każdy, każdy to medyczne określenie i wiele, wiele innych, również forma związana z narodzeniem — każde będzie określać inny termin i będzie mówiło, że nie wiem, człowiek jest od tego, czy od innego momentu.",0
4,101,"Dla mnie człowiek jest od poczęcia i nie wyobrażam sobie mówić o tym, że po prostu na życzenie, bo dzisiaj mi to dziecko nie pasuje, że ta aborcja jest ok, tym bardziej że dzisiaj w Polsce mamy w pełni dostępną antykoncepcję i uważam, że to jest ok, by kobieta, która nie chce być kobietą w ciąży, po prostu stosowała antykoncepcję.",0
1,102,"Zapraszam państwa do naszej sondy, ona się pojawi.",0
1,103,"Wszyscy ci, którzy nas oglądają, będą mogli wziąć w niej udział.",0
1,104,"To nie my liczymy głosy i nie jest to oczywiście sondaż opinii publicznej, i nie rościmy sobie tutaj prawa do tego, by ten sondaż miał o czymkolwiek zdecydować.",0
1,105,"Natomiast jest to narzędzie dla państwa, mogą sobie państwo wziąć lub nie wziąć udziału, rzecz jasna, w naszej sondzie.",0
1,106,Tak czy owak — zapraszam serdecznie.,0
1,107,Panie oczywiście zapraszam do dyskusji.,0
1,108,"Panie mogą wchodzić w interakcje między sobą, choć jak mówiłem, wolałbym bez, bez widowiska nadmiernego.",0
1,109,"A pytanie moje brzmi, to, które teraz mam, rozumiem, że może się spotkać z pewnym protestem, ale właśnie czy, czy jest coś takiego jak syndrom poaborcyjny PAS?",1
1,110,Post abortial syndrom.,0
1,111,Pani profesor się uśmiecha.,0
2,112,Mogę?,1
2,113,Jest.,0
2,114,"Ja spotkałam się z wieloma pacjentkami, i to nie tylko pracując w Polsce, ale również za granicą, gdzie ten syndrom występował, i ten syndrom poaborcyjny oczywiście nie u wszystkich pacjentek, bo część kobiet przechodzi nad tym do porządku dziennego: wydarzyła się aborcja, idziemy dalej, spotkam dobrego partnera, z którym będę chciała mieć dziecko i wtedy będę znowu w ciąży.",0
2,115,"Natomiast ja spotkałam się z bardzo trudnymi syndromami post aborcyjnymi, gdzie konieczna była nie tylko wizyta u psychologa, u psychoterapeuty, ale również u psychiatry.",0
2,116,"Ja nawet kiedyś pokusiłam się o zrobienie takiej konferencji, gdzie mówiliśmy o straconych narodzinach i proszę sobie wyobrazić, że wówczas wypowiadały się nie tylko kobiety, które straciły ciążę, ale ich partnerzy bądź ich mężowie i okazało się, że ta trauma dotyczy całej rodziny, całego domu.",0
2,117,"Nie tylko, nie tylko pacjentki, matki czy, czy ojca, ale przede wszystkim musimy pamiętać o tym, że zawsze kobieta, która była w ciąży, będzie matką.",0
2,118,"Że będzie matką dziecka nienarodzonego, to już jest inna kwestia.",0
5,119,"Pani profesor, mogę zadać pytanie?",1
2,120,Tak.,0
5,121,"Jaki według pani jest symbol, kod ICD ma tak zwany symbol syndrom aborcyjny?",1
5,122,"Czy to jest według pani schorzenie, zaburzenie?",0
5,123,"Gdzie jest wymienione, czy w klasyfikacji chorób…",0
2,124,"…Nie ma kodu ICD, pani poseł.",0
5,125,Nie ma.,0
2,126,Nie ma kodu ICD.,0
5,127,"Czyli nie jest to schorzenie według pani, jako lekarki, ani zaburzenie?",1
2,128,"Jest to, no ja myślę, że jest to troszeczkę… Powiem tak, jest to schorzenie, które występuje u kobiet, które nie jest sklasyfikowane.",0
2,129,Wiele…,0
5,130,"Polska nauka psychologiczna, psychiatryczna go nie klasyfikuje, tak?",1
2,131,"Nie, nie, nie.",0
5,132,"Nie zauważa go, nie ma go w klasyfikacji…",0
4,133,"Ale pani poseł trochę nie do końca pani dobrze pyta, jeżeli mogę przerwać, przepraszam, pani profesor.",0
5,134,Że to ja pytam…,0
4,135,"…No właśnie mówię, że chyba nie do końca…",0
5,136,"…więc może pani skomentować raczej odpowiedzi, a zadać własne pytanie.",0
4,137,"Tak, ale pyta pani o klasyfikację ICD-10.",0
4,138,"Wiele jednostek chorobowych nie jest dokładnie sklasyfikowanych w klasyfikacji ICD-10, co nie świadczy o tym, że dane zjawisko chorobowe nie występuje.",0
2,139,Ja pracując czterdzieści sześć lat — nie było czegoś takiego jak klasyfikacja ICD-10.,0
2,140,Klasyfikacja ICD-10 to są ostatnie lata.,0
2,141,"Natomiast zespół post aborcyjny jest zespołem, który występował w przeszłości.",0
2,142,"Jeżeli my go nie klasyfikujemy teraz, to możemy uważać „coś, co nie jest napisane, to tego nie ma”, a tak nie jest.",0
5,143,Przez tyle lat nie został sklasyfikowany.,0
5,144,Amerykańskie towarzystwo psychologiczne nie rozpoznaje takiego syndromu.,0
2,145,No ale…,0
5,146,"…To jest wymysł środowisk anti-choicowych, czyli tych, które walczą o zakaz aborcji.",0
1,147,Czyli pro-life.,0
1,148,Jeżeli [niezrozumiałe].,0
5,149,"…To zależy, jak kto nazywa, także niech każdy niech używa swojej terminologii.",0
1,150,"Właśnie, bo… Pani doktor, przepraszam, bo…",0
3,151,"…To znaczy, ja myślę, że tu warto było się skupić na tym, co mówią badania naukowe i badania naukowe mówią, że syndrom poaborcyjny nie istnieje.",0
3,152,"To, że ktoś może mieć trudne doświadczenia związane z aborcją, może mieć przeróżną etiologię.",0
3,153,"Może być osoba, która na przykład podjęła niewłaściwą decyzję z uwagi na to, że ktoś ją do tej aborcji zmusił albo chciała mieć dziecko, ale jej sytuacja finansowa i sytuacja życiowa była na tyle trudna, że to była dla niej ta główna przyczyna podjęcia tej decyzji.",0
3,154,"I u osób, które świadomie decydują się na aborcję i które nie chcą być w ciąży, to myślę, że syndrom poaborcyjny występuje w momencie kontynuowania ciąży, a nie jej zakończenia.",0
3,155,"Myślę, że każda decyzja, która wiąże się ze zmuszaniem kogoś do czegoś, będzie się wiązała z konsekwencjami psychologicznymi, a nawet psychiatrycznymi.",0
1,156,"Nie, żeby mnie to zaskoczyło, że…",0
2,157,…Mogę ad vocem?,1
2,158,"Przepraszam bardzo, ale chciałam ad vocem powiedzieć, bo tutaj pani doktor powiedziała, że musimy się opierać na badaniach naukowych.",0
2,159,"Tak, moja doktorantka zrobiła taką pracę.",0
2,160,"To było dziesięć, piętnaście lat temu, gdzie badaliśmy pacjentki, które były po terminacjach ciąż, pacjentki, które poddawały się aborcji i muszę powiedzieć, że szokiem dla nas było, w momencie obrony pracy doktorskiej to, że, że osobami, które wywierały wpływ na kobiety, to była najbliższa rodzina, a nie one same.",0
1,161,"Nie żebym był szczególnie zdziwiony tym, że mamy tutaj dwa różne zdania, nawet wśród lekarzy, jak widać.",0
1,162,"Jedni twierdzą, że jest coś takiego, jak syndrom poaborcyjny, inni — że nie ma.",0
1,163,"No dobrze, czy panie są w stanie, czy panie są w stanie w takim razie stwierdzić właśnie, że aborcja jest takim tematem, gdzie dotykamy dwóch najważniejszych postaw, dwóch najważniejszych wartości, bo jedni uważają, że o tym się nie dyskutuje, bo to jest kwestia życia, kwestia podstawowa, to jest prawo do życia.",0
1,164,"Inni również mówią, że się o tym nie powinno dyskutować, bo to jest prawo wyboru, wolny wybór człowieka.",0
1,165,Czy w tej sytuacji jest możliwe jakiekolwiek porozumienie między tymi dwoma obozami?,1
1,166,"Między tymi, którzy są pro-life a tymi, którzy są pro-choice?",1
3,167,"Myślę, że to jest kwestia tego, gdzie kto stawia jakby to „life”, czyli w momencie, jeżeli my mówimy o życiu kobiety, bo to kobieta jest człowiekiem, który na dziewięć miesięcy musi, no w pewien sposób wypożyczyć swoje ciało, musi przejść ciążę.",0
3,168,"Musi się zdecydować na powikłania związane z ciążą, na choroby, które mogą pojawić się w ciąży, na powikłania związane z porodem, połogiem, a potem na no przynajmniej osiemnaście lat opieki nad dzieckiem, więc myślę, że my, które tutaj siedzimy po tej stronie stołu, tą kobietę widzimy w centrum decyzji na temat życia.",0
1,169,"A wie pani, pani doktor, że to więcej dziewczynek jest poddawanych terminacji ciąży niż chłopców?",1
1,170,I to nie tylko…,0
3,171,"…Ja tutaj nie mam absolutnie żadnych preferencji, czy to są dziewczynki, czy chłopcy.",0
3,172,"Według mnie to jest kwestia tego, czy kobieta chce kontynuować ciążę, czy ta kobieta nie chce kontynuować ciąży, bo to jest jej zdrowie, jej ciało i jej przyszłość.",0
1,173,Mhm.,0
1,174,Pani…,0
4,175,"…Czy kompromis, tak?",1
4,176,"Ja jeszcze tylko, jeżeli mogę, bo nie miałam wcześniej głosu — wypalenie zawodowe do niedawna nie było w ogóle w klasyfikacji ICD-10 i czy to znaczy, że tego wypalenia zawodowego nie mamy dzisiaj?",1
4,177,No można sobie odpowiedzieć.,0
4,178,To samo z tym syndromem poaborcyjnym…,0
5,179,…Sprawie badania już były.,0
4,180,"…o którym pani poseł tak neguje, jest wiele jednostek, naprawdę wiele jednostek chorobowych, które przypisujemy do pewnej grupy wpisując kod ICD-10 jako lekarze w swoim gabinecie i niekoniecznie one dokładnie znaczą dokładnie to rozpoznanie, tylko pewną, określamy pewną grupę.",0
4,181,To tak do poprzedniej wypowiedzi.,0
4,182,"Natomiast pytanie brzmiało, czy, czy jest możliwy kompromis, tak?",1
1,183,"Jakikolwiek, między tymi, którzy mówią, że „świętość życia, życie jest najważniejsze zawsze, i prawo do życia, to ono jest prawem człowieka”, inni mówią inaczej, że to właśnie wolny wybór jest prawem człowieka.",0
4,184,"No ja myślę, że to jest dość trudne, żeby uzyskać tutaj kompromis i, i tak naprawdę wypracować pewne założenia, bo po drugiej stronie pani poseł, chociażby, czy pani doktor uważają, że jakby prawo kobiety i prawo do jej ciała jest jedynym słusznym; myślę, że my po tej stronie akurat stołu, z tego, co słyszę, zdaje się, że mamy zupełnie odmienne zdanie.",0
4,185,"Nie wiem, czy można się spotkać, nie sądzę, by można się spotkać gdzieś pośrodku.",0
4,186,"Dla mnie młody… płód, dziecko jest, jest człowiekiem.",0
4,187,I dla mnie jest to świętość najwyższa.,0
4,188,"Zresztą jeżeli mówimy o prawie do swojego ciała, do decydowaniu o sobie kobiety — oczywiście, ja uważam, że kobieta, zresztą za panem profesorem chyba Andrzejem Zollem, tak mi się wydaje, że prezes Trybunału Konstytucyjnego w przeszłości miał podobne, wyraził podobne zdanie, że kobieta jak najbardziej ma pełne prawo do stanowienia o samej sobie, ale w sytuacji na przykład przyjmowania antykoncepcji czy decydowaniu o tym, żeby nie zajść w ciążę.",0
4,189,"Natomiast w sytuacji, gdy już jest w ciąży, jej prawa są ograniczone ze względu chociażby na to, że, że, że…",0
5,190,…Gdzie są ograniczone — w konstytucji są ograniczone?,1
1,191,Pani…,0
4,192,"Jej prawa są ograniczone, bo jest, bo prawo ma również dziecko, które, które jest w jej brzuchu.",0
4,193,"Dziecko, które ma prawo od urodzenia, zresztą Kodeks Karny mówi o prawie tego dziecka.",0
4,194,Kodeks Cywilny mówi o prawie tego dziecka.,0
4,195,Ustawa o Rzeczniku Praw Dziecka mówi o prawach dziecka poczętego.,0
4,196,Kodeks rodzinny i opiekuńczy również mówi o prawie dziecka.,0
4,197,"Mówi, mówimy nawet o prawie do dziedziczenia, do ustanowienia kuratora, o prawie…",0
5,198,[Niezrozumiałe].,0
4,199,"…jeśli chodzi o Kodeks Karny, do prawie ochrony życia od poczęcia.",0
4,200,"Jakby tych przykładów jest na tyle dużo, że nie można mieć tutaj takich jednostronnych, jednostronnej pewności, że tak, tylko kobieta może sama o sobie stanowić.",0
4,201,Te granice zresztą nawet bardzo trudno określić.,0
4,202,"Sami państwo składają bardzo dużo różnych, chyba cztery w tej chwili są projekty ustawy związanej z aborcją, zaproponowane i przez Lewicę, chyba nawet dwa, i chyba dwa przez Koalicję Obywatelską, które są bardzo różne.",0
4,203,"Jedni podają inne, każdy projekt podaje inne terminy jako ten dozwolony, to znaczy, że sama Lewica…",0
5,204,"Nie, to nie [niezrozumiałe] projektów.",0
4,205,"…ma wątpliwości co do ustalenia pewnego czasu do kiedy, albo od kiedy.",0
4,206,Takie jest moje zdanie.,0
5,207,"Pani, pani poseł…",0
4,208,"…Myślę, że ten kompromis jest dosyć trudny.",0
4,209,"Znaczy na pewno jest trudny, bo po tej stronie mówimy o tym, że — ja tak przynajmniej stanowię — dla mnie płód, dziecko od poczęcia jest dzieckiem, jest człowiekiem i ma swoje prawa, natomiast dla państwa jakby no nie wiem, jak określacie państwo czym, bądź kim, jest dziecko od poczęcia, natomiast wiem, że stanowicie, że kobieta może w każdej chwili od A do Z decydować o swoim ciele.",0
4,210,Trudno mi tu znaleźć kompromis.,0
3,211,"Ja może tylko szybciutko z punktu widzenia medycznego: do ósmego tygodnia jest zarodek, do, od ósmego tygodnia do porodu jest płód, a potem mamy noworodka do dwudziestego ósmego dnia życia.",0
1,212,"To jest zarodek ludzki, prawda?",1
3,213,"Zarodek ludzki, tak.",0
1,214,Czyli z tego zarodka nie może powstać nic innego?,1
5,215,Może…,0
1,216,"Nie, tylko człowiek.",0
5,217,"…to znaczy nie jest wcale powiedziane, że to, z tego…",0
1,218,…Czy może jakieś inne stworzenie powstać?,1
5,219,"Znaczy niestety tak, no czasami to się…",0
1,220,…Tak?,1
5,221,"Są patologiczne ciąże, które…",0
1,222,"…Pani doktor, potwierdza pani, że może powstać jakiś inny gatunek?",1
5,223,"Po zapłodnieniu… Nie, nie gatunek, tylko wcale nie musi od razu stać się płodem, a później różowym bobasem.",0
5,224,"Są różne zaburzenia ciąży, które niestety mogą się źle skończyć.",0
1,225,"Są też różne, są też…",0
5,226,"…Znaczy jeżeli mamy ciążę pozamaciczną na przykład, to nie będzie z tego różowego bobasa, no przykro mi, ale…",0
4,227,…No bo to jest ciąża pozamaciczna.,0
5,228,"Tak, ale mamy zarodek, on jest ludzkim zarodkiem, ale nie stanie się dzieckiem.",0
4,229,Ale dzisiaj…,0
2,230,…Przepraszam.,0
2,231,Nie ciąża pozamaciczna tylko ektopowa.,0
2,232,Pojęcie „pozamaciczna”...,0
5,233,"…Ja przepraszam bardzo, nie jestem lekarką, także może użyłam takiego pojęcia, które jest powszechnie rozumiane.",0
2,234,Ektopowa jest szerszym pojęciem…,0
5,235,"…Tak, oczywiście, zgadza się",0
2,236,…niż ciąża pozamaciczna,0
5,237,"Czy, ja…",0
1,238,"…Tylko że my nie wiemy, co to znaczy ektopowa, to już zupełnie inna sprawa.",0
2,239,"To zna, to chodzi o to, że zarodek umiejscawia się w innym miejscu…",0
5,240,…Niż powinien.,0
2,241,…a nie w macicy.,0
2,242,Tak.,0
5,243,"Czy, czy ja mogę jeszcze?",1
1,244,Naturalnie.,0
5,245,"Właśnie, jak już tak nawiązałam tutaj relację, interakcje z panią profesor.",0
5,246,"Pani profesor była w sumie blisko stwierdzenia, że to jest źle, że ktoś decyduje za kobietę, jeżeli ona chce przerwać ciążę albo nie chce jej przerwać, że to jednak ona powinna podjąć tę decyzję.",0
5,247,"Pani powiedziała coś takiego, że bardzo, z jakiś tam badań prowadzonych przez panią doktorantkę wyszło, że były naciski, że niestety kobiety podejmowały te decyzje pod wpływem nacisków.",0
5,248,"No więc właśnie może powinniśmy stworzyć taką sytuację dla kobiet, żeby nie było tych nacisków, żeby one same mogły podejmować decyzje czy chcą usunąć ciążę, czy chcą ją kontynuować.",0
5,249,"Może to jest rozwiązanie, bo się pewnie nie zgodzimy co do tego, i nie ma też przymusu przerywania ciąży.",0
5,250,"Jeżeli ktoś uważa, że to jest życie święte od poczęcia — ja to rozumiem, są różne religie, są różne przekonania, ale to ta osoba może kontynuować tę ciążę.",0
5,251,"Ale są inne religie, inne przekonania, są też ludzie, którzy nie wyznają żadnej religii, nie muszą podzielać tych przekonań i oni powinni, one, mieć prawo do podjęcia tej decyzji, bez tych właśnie wszystkich zewnętrznych wpływów.",0
1,252,Pani doktor?,1
3,253,Lepiej bym tego nie powiedziała.,0
1,254,"Przepraszam, bo pani… Ja myślałem, że pani chce dodać coś.",0
1,255,"No dobrze, ale właśnie, bo… To ja zadam to pytanie, które tutaj już się przewija, dobrze, to co to jest, to stworzenie, które kobieta nosi w sobie, czy to jest jej część ciała albo jej sprawa prywatna, to, co ona tam ma?",1
1,256,"Czy to jest całkowicie autonomiczna jednostka, człowiek, wobec którego to nie ona, no, którego to nie ona jest właścicielką?",1
3,257,"Jeżeli by była to autonomiczna jednostka, to nie potrzebowałaby kobiety do rozwoju, więc o autonomii możemy mówić, jeżeli płód staje się noworodkiem.",0
1,258,"Ale ma na przykład prawa, prawda?",1
1,259,"Wie pani o tym, że można, że można ustanowić to dziecko, które się poczęło, dziedzicem.",0
5,260,To ad vocem tylko.,0
5,261,Ad vocem.,0
5,262,"Muszę, muszę, przepraszam — pod warunkiem żywego urodzenia, to znaczy…",0
1,263,"…No oczywiście, że pod warunkiem żywego urodzenia.",0
5,264,"To jeszcze jak jest brzuszku — nie, nie, nie.",0
5,265,To jeszcze nie jest Junior Dziedzic jeszcze nie.,0
5,266,"Dopiero jak się urodzi, jeżeli się nie urodzi żywy, to nie.",0
1,267,"No ale to to samo mniej więcej dotyczy ludzi, którzy już się urodzili.",0
1,268,"Jeżeli moje dziecko, które ja w tej chwili ustanowię swoim dziedzicem, umrze zanim odziedziczy, umrze w dniu testamentu, albo dzień po, to nie będzie dziedzicem, to dość oczywiste.",0
5,269,No nie.,0
5,270,"W momencie, kiedy jest pan testatorem i składa takie oświadczenie woli, wówczas już jest dziedzicem.",0
1,271,"No jest, tylko że…dobrze.",0
1,272,"Pani doktor, przerwaliśmy.",0
5,273,"…Także to są kwestie prawne trochę inne niż te, o które pan w tej chwili chce poruszyć.",0
3,274,Z perspektywy medycznej ciąża jest obciążeniem dla kobiety.,0
